feature,importance
avg_rating_roll3,0.11302009
defect_terms_roll3,0.07463172
avg_rating_roll1,0.06554803
rolling_volatility,0.0607056
return_terms_rate,0.058610495
avg_rating,0.05552531
pct_1star,0.05539786
defect_terms_rate,0.05233617
rating_trend,0.051846135
avg_helpful_votes,0.049750194
negative_sentiment_score,0.045791067
pct_2star,0.04526144
defect_terms_roll1,0.04493095
safety_terms_rate,0.0447009
resolution_time_avg,0.04297158
high_severity_rate,0.041250166
rating_1m_lag,0.038001735
review_count,0.035949003
ticket_count,0.023771642
pct_verified,0.0
defect_1m_lag,0.0
