feature,importance
avg_rating_roll3,0.117731474
avg_rating_roll1,0.08002046
defect_terms_roll3,0.071893305
rolling_volatility,0.069601096
return_terms_rate,0.06904713
avg_rating,0.06570158
rating_trend,0.061159603
defect_terms_rate,0.053381026
pct_1star,0.05319459
pct_2star,0.049423374
defect_terms_roll1,0.049157657
avg_helpful_votes,0.047966737
negative_sentiment_score,0.04554019
resolution_time_avg,0.042661656
rating_1m_lag,0.035354294
safety_terms_rate,0.034800168
review_count,0.028319303
ticket_count,0.025046417
pct_verified,0.0
defect_1m_lag,0.0
high_severity_rate,0.0
