review_id,asin,product_name,review_text,rating,labeled_issue,labeled_severity_score,labeled_risk_level
1,B07SZCVNLN,"FusionTech Mercury 13 5390, 8th Generation Intel Core i7-8565U, 13.3-Inch FHD (1920 X 1080), 8GB LPDDR3, 2133 MHz, 256 SSD, NVIDIA GeForce MX250 2GB GDDR5, v5390-7688GRY-PUS",I needed a new laptop quickly and I dont know much about the best models. I saw good reviews on this one and decided to purchase it. I love the screen size because I do work on it. It is a great laptop so far and I have never had any issues with it.,5.0,screen,27.5,MEDIUM
2,B07T4HGF79,"FusionTech ABC 15 laptop 15.6"", 4K UHD InfinityEdge Touch, 9th Gen Intel Core i7-9750H, NVIDIA GeForce GTX 1650 4GB GDDR5, 1TB SSD storage, 16GB RAM, ABC7590-7565SLV-PUS","Feels very well put together, as opposed to some other PC laptops I've tried. Seriously sturdy. Nice tactile feel in the keys, too.",5.0,keyboard,35.0,MEDIUM
3,B06XFGDD8P,"FusionTech i5577-5335BLK-PUS Worktop 15"" Full HD Gaming Laptop - 7th Gen Intel Core i5-8GB Memory - 256GB SSD - NVIDIA GeForce GTX 1050 - Black",I bought 3 of these for my 3 college kids. The case breaks on the back left side just like others report. 2 of them have broken  - just waiting on the other one to go.  :-\,2.0,build_quality,100.0,CRITICAL
4,B07FZFGB5V,"FusionTech ABC 15 9570 15.6"" 4K UHD TouchScreen Laptop: Core i7-8750H, 32GB RAM, 1TB SSD, NVIDIA GTX 1050Ti, Backlit Keyboard, Fingerprint Reader, Windows 10","Disappointed! Considering how expensive this was there were several problems straight out the box. Day 1:  I spent 2 hrs with tech support trying to get the network adapter to work. I researched FusionTech on a different computer and discovered there were urgent updates for my problem and then some.  I had to download updates from the FusionTech driver & download site onto a USB (using another computer). Loaded them onto the FusionTech ABC and lo and behold it updated the adapter and I was able to connect to the wi-fi.  2nd day, screen began the flickering problem the reviews talked about so much. It was so bad I could barely stand to view the screen without freaking out! So back to the FusionTech driver & download site; sure enough they mentioned the problem and there was a download fix listed for that problem too! The frustration and disappointment at this point had finally sunk in. Who wants to drop this much dough to go through all this madness in attempts to make it function for it's worth.  DEFEATED..I rewrapped with grave sadness and returned. IF YOU WANT TO VENTURE, THE WARRANTY IS NOT AN OPTION you want to pass up. FINAL THOUGHT: I am heartbroken. I wanted this laptop from the first time I read the specs; but It's was an expensive and<br /> overwhelming (not to speak of extremely time consuming) venture that I could no longer deal with. So it was returned today. My only complaint regarding this laptop was the constant screen flickering.  It is a fabulous laptop which is the reason I am so disappointed the flickering couldnt be resolved.",3.0,battery,100.0,CRITICAL
5,B07R7XCZD7,"FusionTech G7 17 Gaming Laptop (Windows 10 Home, 9th Gen Intel Core i7-9750H, NVIDIA GTX 1660 Ti 6G, 17.3"" FHD LCD Screen, 512GB SSD, 16 GB RAM) G7790-7662GRY-PUS",Screen has a black shadow straight out of the box. Sad because I was really looking forward to this new PC. Now I will be sending it back instead.,1.0,screen,100.0,CRITICAL
6,B07BXG7725,"FusionTech Gaming Laptop - 15"" FHD, 8th Gen Intel Core i7-8750H CPU, 16GB RAM, 256GB SSD+1TB HDD, NVIDIA GeForce GTX 1050TI, Windows 10 Home, Black - G3579-7989BLK-PUS",Nice laptop,5.0,general,20.0,LOW
7,B07RCP7ZV8,"FusionTech G7 17 Gaming Laptop (Windows 10 Home, 9th Gen Intel Core i7-9750H, NVIDIA GTX 1660 Ti 6G, 17.3"" FHD LCD Screen, 512GB SSD, 16 GB RAM) G7790-7662GRY-PUS","Used this laptop for 3 days and even with a gaming fan for this laptop running on high this laptop finds a way to overheat like crazy and the graphics hard heats up and your whole screen shuts off and out of the blue the screen will freeze and go blank, will be returning this asap. I promise you DO NOT want to buy this pos, thank me later.",1.0,overheating,82.5,CRITICAL
8,B07T1DTF4F,"FusionTech - ABC7590-7572SLV-PUS ABC 15 7590 Laptop 15.6 inch, 4K UHD OLED InfinityEdge, 9th Gen Intel Core i7-9750H, NVIDIA GeForce GTX 1650 4GB GDDR5, 256GB SSD, 16GB RAM, Windows 10 Home, ABC7590-7572SLV-PUS, 15-15.99 inches Silver",Despite the i7 processor and max WiFi it’s awful can’t and won’t connect to WiFi<br /><br />I disabled all software preventing connections still awful<br /><br /> I feel like the info on this is completely misstated: I<br />Purchased for using to work remotely just barely connects have yet to be able to use it due non stop updates<br /><br />I gave it 1 star in all categories as I can’t submit the review unless 1 Star is tagged if I had a choice no stars,1.0,software,100.0,CRITICAL
9,B07R7XCZD7,"FusionTech G7 17 Gaming Laptop (Windows 10 Home, 9th Gen Intel Core i7-9750H, NVIDIA GTX 1660 Ti 6G, 17.3"" FHD LCD Screen, 512GB SSD, 16 GB RAM) G7790-7662GRY-PUS","Started the computer up and things seem fine until I tried to make a change to Windows and I see the message that I can't customize Windows because it's not activated.<br />FusionTech forums were no help, except to call FusionTech support, no thanks! I'm not interested in a series of stupid questions from  a tier 1 tech support who knows less than I do.<br />10 minutes of googling led me to a post from some random person on a Microsoft site about how to get the key via reading it from the motherboard using wmic.<br /><br />It's pretty frustrating to get stalled at step 1. How dumb is FusionTech to screw up the most important requirement?",2.0,performance,100.0,CRITICAL
10,B07QD37WD4,"FusionTech ABC9570-5632SLV-PUS 15.6"" Traditional Laptop (Silver) 8th Gen i5-8300H Processor-Win 10 Home-8GB Memory-256GB SSD HD-Backlit Keyboard-6 Cell Battery; NVIDIA GeForce GTX 1050 with 4GB GDDR5",I was debating between this and the surface book... This thing is better than I thought it would be and I had high expectations!,5.0,general,20.0,LOW
11,B07BXG7725,"FusionTech Gaming Laptop - 15"" FHD, 8th Gen Intel Core i7-8750H CPU, 16GB RAM, 256GB SSD+1TB HDD, NVIDIA GeForce GTX 1050TI, Windows 10 Home, Black - G3579-7989BLK-PUS",Very fast shipping. Useful for work and entertain,5.0,general,20.0,LOW
12,B015PYYDMQ,"FusionTech 15.6-Inch Gaming Laptop (6th Gen Intel Quad-Core i5-6300HQ Processor up to 3.2GHz, 8GB DDR3, 256GB SSD, Nvidia GeForce GTX 960M, Windows 10)","I bought this laptop in 2016 and it arrived near the start of January, currently I am writing about this near the start of February 2020. I would say that in the beginning I bought this for gaming mainly LoL, watching movies and doing homework. The battery life was wonderful compared to my old HP laptop especially if I was just browsing the web or typing an essay. I would get about 6-8hrs. I ended up using this laptop less and less throughout the years. I mainly used it for schoolwork that requires using a computer such as online essays, classes or using certain computer programs. As of now there has been times when the sound gives a screech whenever a video or music is playing. There also been blue screens for crash dumps and the laptop needed to restart. I can't watch an hour long video for an assignment and still have enough battery power to type an essay after that. This also occurs with windows or some security updates as well. And this is with the battery power saver always on. Of course battery life do degrade over time so does every other electrical device. But I thought it would have lasted a bit longer due to my minimal usage. I would be lucky to get over 2hrs of battery power for me to work on stuff on campus. Sometimes the battery power would say I have 2hrs and 47 minutes of battery power left at 80% but when it hits 78% I suddenly only have 2hrs left. Lately I've been contemplating over whether or not I should even bring my laptop to school if I can't get most of work done on it and have to search for a free computer available during my gap between classes.<br />I do like that the fans on this laptop works so much better than my HP laptop. So it isn't as noisy or if it does use the fans it will only last a couple of seconds and then becomes silent again. I mean overall this laptop beats the HP infinity I had before since that laptop literally heated up so bad that the mother board got burnt and it wouldn't turn on after 4 years. At least after 4 years with this laptop I still have a usable laptop that is still speedy like when I first got it. But the battery doesn't last as long as I would've liked. And this laptop doesn't have an easily removable battery either. Well back to my online assignment. :c",4.0,overheating,52.5,HIGH
13,B07QD37WD4,"FusionTech ABC9570-5632SLV-PUS 15.6"" Traditional Laptop (Silver) 8th Gen i5-8300H Processor-Win 10 Home-8GB Memory-256GB SSD HD-Backlit Keyboard-6 Cell Battery; NVIDIA GeForce GTX 1050 with 4GB GDDR5","I have been eyeing this laptop for a bit and finally got around to ordering it. I was looking to replace my aging Macbook Pro but didn't need another expensive Apple computer. I did, however need a quality built laptop for traveling that would hold up like my MacBook Pro.<br /><br />I am happy to say this laptop is exactly what I was looking for. It has a quality built aluminum chassis, not plastic! It's fast and snappy and the screen is so vibrant and bright.<br /><br />Highly recommend.",5.0,screen,42.5,MEDIUM
14,B07GFLBNYD,"FusionTech G5 Gaming Notebook Computer 15.6?, Intel Core i7-8750H, Nvidia Geforce GTX 1050Ti 4GB, 8GB RAM, 1TB + 128GB SSD Storage, G5587-7037RED-PUS",Very good,5.0,general,20.0,LOW
15,B07T4HGF79,"FusionTech ABC 15 laptop 15.6"", 4K UHD InfinityEdge Touch, 9th Gen Intel Core i7-9750H, NVIDIA GeForce GTX 1650 4GB GDDR5, 1TB SSD storage, 16GB RAM, ABC7590-7565SLV-PUS",It honestly beat expectations and they somehow fixed the throttling issues. It runs exceptionally well doing hard tasks and stays relatively cool,5.0,general,20.0,LOW
16,B07SHFHY2H,"Advance M15 Gaming Laptop, 15.6"" 144hz FHD Display, Intel Core i7-9750H, NVIDIA RTX 2060 6GB OC, 512GB SSD, 16GB RAM, Nebula Red Color",Love it.  Should last a while. Impressed and beat my expectations.,5.0,general,20.0,LOW
17,B07R7XCZD7,"FusionTech G7 17 Gaming Laptop (Windows 10 Home, 9th Gen Intel Core i7-9750H, NVIDIA GTX 1660 Ti 6G, 17.3"" FHD LCD Screen, 512GB SSD, 16 GB RAM) G7790-7662GRY-PUS",It has been really wonderful so far! I’m truly happy with this machine.,5.0,general,20.0,LOW
18,B07GFLBNYD,"FusionTech G5 Gaming Notebook Computer 15.6?, Intel Core i7-8750H, Nvidia Geforce GTX 1050Ti 4GB, 8GB RAM, 1TB + 128GB SSD Storage, G5587-7037RED-PUS",Very good..,5.0,general,35.0,MEDIUM
19,B07R7XCZD7,"FusionTech G7 17 Gaming Laptop (Windows 10 Home, 9th Gen Intel Core i7-9750H, NVIDIA GTX 1660 Ti 6G, 17.3"" FHD LCD Screen, 512GB SSD, 16 GB RAM) G7790-7662GRY-PUS","Very happy with the hardware.  I has a blue light-up keyboard I didn't expect and when plugged in plays games extremely well. Nice weight, screen, sturdyness and temperature control.  The power cord end also lights up making it easy to find and know its still plugged in. Negatives include a laptop fan that has a mosquito like annoying whine and my batteries drain very quickly at peek performance with sluggish response. I'm souring on current Windows OS but that's a software issue.",4.0,overheating,52.5,HIGH
